,Sited,Leased,District,Project #,School,Forecast Capacity,Design Start,Construction Start,Actual Est. Comp,Total Est. Comp,Previous Appropriations,Funding Req'D FY 20-24,Needed to Complete,Borough,Location,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
0,*,,13,DSF0000798239,I.S. 653,640,May-15,Jun-20,Aug-22,126.15,100.74,25.41,0.0,Brooklyn,491 DEAN STREET,11217.0,40.681391999999995,-73.97365500000001,8.0,35.0,161.0,3027638.0,3011280087.0,Prospect Heights
1,,,22,DSF0000911867,PROJECT #1,476,May-23,Jun-24,Mar-27,78.33,0.0,69.8,8.53,,,,,,,,,,,
2,,L,11,DSF0000911832,PROJECT #2,824,Jun-21,Dec-22,Jun-26,42.15,0.0,38.25,3.9,,,,,,,,,,,
3,,,31,DSF0000889060,PROJECT #4,476,Apr-20,Jul-21,Mar-24,71.71,0.07,71.63,0.0,,,,,,,,,,,
4,,,9,DSF0000889664,PROJECT #2,572,Jul-19,Apr-21,Apr-24,90.97,0.02,90.95,0.0,,,,,,,,,,,
5,,,31,DSF0000798213,PROJECT #7,476,Apr-21,Jul-22,Jun-25,50.25,0.17,45.94,4.14,,,,,,,,,,,
6,,,25,DSF0000911866,PROJECT #1,824,Mar-23,Jun-24,Mar-28,134.58,0.0,119.85,14.73,,,,,,,,,,,
7,,L,12,DSF0000798238,PROJECT #1,476,Jun-20,Sep-21,Mar-24,20.85,0.16,20.69,0.0,,,,,,,,,,,
8,,L,20,DSF0000798188,PROJECT #2,824,Jan-22,Apr-23,Jun-26,49.29,0.21,44.59,4.49,,,,,,,,,,,
9,,,8,DSF0000911814,PROJECT #1,572,Mar-21,Jun-22,Mar-25,95.19,0.0,88.49,6.7,,,,,,,,,,,
10,,,24,DSF0000843831,PROJECT #1,824,Mar-20,Jun-21,Sep-24,127.56,0.04,123.93,3.6,,,,,,,,,,,
11,,,9,DSF0000911815,PROJECT #1,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
12,,,19,DSF0000911836,PROJECT #1,476,Mar-23,Jun-24,Mar-27,78.33,0.0,69.8,8.53,,,,,,,,,,,
13,,,30,DSF0000798212,PROJECT #3,1000,Jun-23,Sep-24,Jun-28,155.7,0.07,13.24,142.39,,,,,,,,,,,
14,,,25,DSF0000911834,PROJECT #2,824,Mar-21,Jun-22,Mar-26,127.55,0.0,115.85,11.7,,,,,,,,,,,
15,,L,31,DSF0000911850,PROJECT #2,476,Mar-21,Jun-22,Mar-25,21.08,0.0,19.58,1.5,,,,,,,,,,,
16,,,30,DSF0000889670,PROJECT #4,476,Jun-21,Sep-22,Apr-25,74.11,0.0,67.61,6.5,,,,,,,,,,,
17,,,25,DSF0000911849,PROJECT #7,572,Sep-22,Dec-23,Sep-26,92.38,0.0,82.3,10.08,,,,,,,,,,,
18,,,27,DSF0000911857,PROJECT #1,476,Jan-21,Apr-22,Mar-25,74.11,0.0,68.91,5.2,,,,,,,,,,,
19,*,,9,DSF0000889040,P.S. @ EDWARD L GRANT HIGHWAY,572,Mar-19,Jun-20,Jun-23,87.8,22.07,65.73,0.0,,,,,,,,,,,
20,,,21,DSF0000911842,PROJECT #3,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
21,,,78Q,DSF0000911861,PROJECT #3,1479,Nov-22,Mar-24,Jun-28,197.85,0.0,176.15,21.7,,,,,,,,,,,
22,*,,30,DSF0000843827,I.S. @ 44-59 45 AVENUE,536,Mar-20,Jun-21,Jun-24,92.38,0.11,92.26,0.0,Queens,44-59 45 AVENUE,,,,,,,,,
23,,,10,DSF0000911830,PROJECT #4,824,Jun-22,Dec-23,Jun-27,134.58,0.0,119.85,14.73,,,,,,,,,,,
24,*,,25,DSF0000798201,P.S. 169 ADDITION,410,Sep-18,Dec-19,Sep-22,56.25,4.53,51.72,0.0,Queens,18-25 212 STREET,11360.0,40.782298,-73.779099,7.0,19.0,99704.0,4131147.0,4058650050.0,Ft. Totten-Bay Terrace-Clearview
25,,,78Q,DSF0000911856,PROJECT #1,1202,Nov-20,Mar-22,Mar-26,183.8,0.0,166.9,16.9,,,,,,,,,,,
26,,L,10,DSF0000798174,PROJECT #2,572,Jun-21,Sep-22,Sep-25,20.92,0.14,19.0,1.77,,,,,,,,,,,
27,,,13,DSF0000843824,PROJECT #1,476,Mar-21,Jun-22,Mar-25,71.31,0.14,66.19,4.97,,,,,,,,,,,
28,*,,10,DSF0000889039,P.S. @ 2355 MORRIS AVENUE,476,Mar-19,Jun-20,Mar-23,64.28,5.08,59.19,0.0,Bronx,2355 MORRIS AVENUE,10468.0,40.859668,-73.900982,5.0,14.0,239.0,2000000.0,2031830045.0,Fordham South
29,,,2,DSF0000911799,PROJECT #2,640,Sep-20,Dec-21,Mar-25,92.85,0.0,86.32,6.53,,,,,,,,,,,
30,*,,2,DSF0000798170,P.S. 464,450,May-15,Mar-20,Jun-22,166.13,102.82,63.31,0.0,,,,,,,,,,,
31,*,,12,DSF0000798179,P.S. @ 1570 BOONE AVENUE,458,Dec-17,Jan-20,Sep-22,79.23,6.44,72.79,0.0,Bronx,1570 BOONE AVENUE,10460.0,40.833224,-73.88497,3.0,17.0,157.0,,,Crotona Park East
32,,,20,DSF0000911837,PROJECT #8,824,Jun-20,Dec-21,Jun-25,130.36,0.0,121.16,9.2,,,,,,,,,,,
33,,,30,DSF0000911869,PROJECT #1,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
34,,,27,DSF0000889273,PROJECT #3,640,Apr-21,Jun-22,Mar-25,99.43,0.09,92.37,6.97,,,,,,,,,,,
35,,,29,DSF0000911863,PROJECT #1,572,Jan-22,Apr-23,Apr-26,96.59,0.0,87.75,8.84,,,,,,,,,,,
36,*,,78Q,DSF0000866092,H.S. @ 51-30 NORTHERN BOULEVARD,3079,Jun-18,Feb-20,Jun-24,352.79,28.18,324.61,0.0,Queens,51-30 NORTHERN BOULEVARD,11377.0,40.753167,-73.90809200000001,2.0,26.0,255.0,4437089.0,4011920041.0,Woodside
37,,L,25,DSF0000911843,PROJECT #5,640,Mar-21,Jun-22,Jun-25,28.1,0.0,26.1,2.0,,,,,,,,,,,
38,,,20,DSF0000843829,PROJECT #3,640,Jun-21,Sep-22,Sep-25,102.25,0.12,92.83,9.3,,,,,,,,,,,
39,*,,15,DSF0000843826,I.S. @ 21-31 & 35 DELEVAN STREET,646,Sep-19,Feb-21,Jun-24,99.57,1.44,98.13,0.0,Brooklyn,21-31 & 35 DELEVAN STREET,,,,,,,,,
40,*,,2,DSF0000798236,P.S. @ HUDSON SQUARE,462,Apr-18,Jun-21,Jun-23,64.28,5.01,59.27,0.0,Mahattan,2 HUDSON SQUARE,,,,,,,,,
41,,,10,DSF0000867118,PROJECT #3,640,Mar-20,Jun-21,Jun-24,99.43,0.01,99.43,0.0,,,,,,,,,,,
42,,L,28,DSF0000888931,PROJECT #1,824,Jan-21,Apr-22,Aug-25,42.15,0.0,38.25,3.9,,,,,,,,,,,
43,,L,21,DSF0000911844,PROJECT #4,476,Mar-23,Jun-24,Mar-26,29.51,0.0,26.25,3.26,,,,,,,,,,,
44,,L,20,DSF0000798567,PROJECT #7,476,Mar-22,Jun-23,Mar-26,20.97,0.29,18.99,1.69,,,,,,,,,,,
45,,L,20,DSF0000845622,PROJECT #6,824,Jan-21,Apr-22,Jun-25,49.18,0.02,45.65,3.5,,,,,,,,,,,
46,,,28,DSF0000911859,PROJECT #4,572,Jan-22,Apr-23,Apr-26,96.59,0.0,87.75,8.84,,,,,,,,,,,
47,,L,20,DSF0000798191,PROJECT #4,640,Mar-20,Jun-21,Jun-24,28.11,0.11,27.99,0.0,,,,,,,,,,,
48,,,21,DSF0000911868,PROJECT #5,640,Mar-23,Jun-24,Jun-27,106.45,0.0,94.83,11.63,,,,,,,,,,,
49,,,25,DSF0000911835,PROJECT #3,476,Jan-22,Apr-23,Apr-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
50,,L,14,DSF0000687094,PROJECT #1,612,Jun-23,Sep-24,Jun-27,28.01,0.11,2.11,25.78,,,,,,,,,,,
51,,,26,DSF0000889663,PROJECT #3,476,Jul-19,Oct-20,Jun-23,63.28,0.06,63.22,0.0,,,,,,,,,,,
52,*,,26,DSF0000798204,P.S. 46 ADDITION,440,Sep-18,Dec-19,Sep-22,56.25,4.52,51.73,0.0,Queens,64-45 218 STREET,11364.0,40.746202000000004,-73.758752,11.0,23.0,1367.0,4162449.0,4076190001.0,Oakland Gardens
53,,,21,DSF0000911841,PROJECT #2,476,Mar-21,Jun-22,Mar-26,71.3,0.0,64.8,6.5,,,,,,,,,,,
54,,,11,DSF0000911831,PROJECT #1,824,Jun-20,Dec-21,Jun-25,127.55,0.0,118.55,9.0,,,,,,,,,,,
55,,,20,DSF0000798187,PROJECT #1,824,Jan-20,Apr-21,Jun-24,137.71,10.3,127.41,0.0,,,,,,,,,,,
56,,,24,DSF0000889651,PROJECT #2,640,Jul-19,Sep-20,Apr-23,96.62,0.02,96.6,0.0,,,,,,,,,,,
57,,,10,DSF0000843830,PROJECT #1,824,Jun-22,Dec-23,Jun-27,134.58,0.01,119.84,14.72,,,,,,,,,,,
58,,,25,DSF0000911839,PROJECT #4,476,Sep-22,Dec-23,Sep-26,75.52,0.0,67.3,8.22,,,,,,,,,,,
59,,L,27,DSF0000798206,PROJECT #2,640,Jun-20,Sep-21,Sep-24,28.1,0.12,27.19,0.79,,,,,,,,,,,
60,,,15,DSF0000866091,PROJECT #1,640,Mar-20,Jun-21,Jun-24,99.43,0.0,99.43,0.0,,,,,,,,,,,
61,,,25,DSF0000911845,PROJECT #6,640,Jan-22,Apr-23,Apr-26,100.83,0.0,91.6,9.23,,,,,,,,,,,
62,,,21,DSF0000911840,PROJECT #1,476,Mar-23,Jun-24,Mar-27,78.33,0.0,69.8,8.53,,,,,,,,,,,
63,,,14,DSF0000798240,PROJECT #2,379,Nov-20,Feb-22,Sep-24,57.25,0.0,55.65,1.6,,,,,,,,,,,
64,*,,7,DSF0000889308,P.S. @ ST. ANN'S AVENUE,572,Jan-19,Apr-20,Mar-23,85.35,6.66,78.69,0.0,,,,,,,,,,,
65,*,L,13,DSF0000843660,P.S. @ ALBEE SQUARE WEST,332,Jul-17,Sep-21,Jun-23,29.86,2.35,27.51,0.0,Brooklyn,420 ALBEE SQUARE WEST,11201.0,40.691157000000004,-73.983459,2.0,33.0,15.0,3000316.0,3001460043.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
66,,,22,DSF0000911846,PROJECT #2,640,Mar-21,Jun-22,Jun-25,99.43,0.0,92.43,7.0,,,,,,,,,,,
67,,,7,DSF0000798173,PROJECT #1,572,Jun-20,Oct-21,Jun-24,92.38,0.11,92.26,0.0,,,,,,,,,,,
68,*,L,31,DSF0000889041,P.S. 13 ANNEX,132,Sep-18,Jul-19,Sep-20,14.05,1.13,12.93,0.0,Staten Island,457 TOMKINS AVENUE,,,,,,,,,
69,,,20,DSF0000798190,PROJECT #5,476,Jun-21,Sep-22,Jun-25,74.11,0.02,67.6,6.49,,,,,,,,,,,
70,,,31,DSF0000911847,PROJECT #1,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
71,,L,78Q,DSF0000911858,PROJECT #2,1202,Nov-21,Mar-23,Jun-26,186.87,0.0,169.58,17.29,,,,,,,,,,,
72,,,28,DSF0000911862,PROJECT #3,640,Mar-21,Jun-22,Jun-25,99.43,0.0,92.43,7.0,,,,,,,,,,,
73,,,31,DSF0000911848,PROJECT #3,476,Mar-23,Jun-24,Mar-27,76.92,0.0,68.55,8.37,,,,,,,,,,,
74,*,,15,DSF0000888773,P.S./H.S. @ SCHERMERHORN STREET,382,Mar-18,May-20,Jun-23,2.05,2.05,0.0,0.0,Brooklyn,362 SCHERMERHORN STREET,11217.0,40.686499,-73.979649,2.0,33.0,39.0,3331754.0,3001740001.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
75,,L,20,DSF0000911838,PROJECT #9,824,Jun-21,Dec-22,Jun-26,49.18,0.0,44.63,4.55,,,,,,,,,,,
76,,L,30,DSF0000798211,PROJECT #2,640,Mar-20,Jun-21,Jun-24,28.1,0.03,28.07,0.0,,,,,,,,,,,
77,,,31,DSF0000911852,PROJECT #5,476,Mar-22,Jun-23,Mar-26,74.11,0.0,67.35,6.76,,,,,,,,,,,
78,,L,26,DSF0000911853,PROJECT #2,824,Jan-22,Apr-23,Apr-26,129.26,0.0,117.3,11.96,,,,,,,,,,,
79,,L,28,DSF0000911860,PROJECT #2,640,Sep-22,Dec-23,Mar-27,28.1,0.0,25.0,3.1,,,,,,,,,,,
80,,,31,DSF0000911854,PROJECT #6,692,Sep-22,Dec-23,Jun-27,106.45,0.0,94.83,11.63,,,,,,,,,,,
81,,,29,DSF0000911864,PROJECT #2,476,Sep-22,Dec-23,Jun-26,76.92,0.0,68.55,8.37,,,,,,,,,,,
82,,,11,DSF0000889274,PROJECT #3,476,Jun-19,Sep-20,Jun-23,63.28,5.06,58.22,0.0,,,,,,,,,,,
83,,L,2,DSF0000798172,PROJECT #1,476,Mar-20,Jun-21,Mar-24,21.84,1.02,20.83,0.0,,,,,,,,,,,
84,,,26,DSF0000911855,PROJECT #1,640,Sep-22,Dec-23,Mar-27,106.45,0.0,94.83,11.63,,,,,,,,,,,
85,,L,15,DSF0000890667,PROJECT #2,640,Jun-21,Sep-22,Sep-25,29.87,0.01,27.21,2.64,,,,,,,,,,,
86,,,78Q,DSF0000889275,PROJECT #4,1202,May-20,Jan-22,Sep-25,179.08,38.12,128.64,12.32,,,,,,,,,,,
87,*,,2,DSF0000424314,P.S./I.S. @ WESTERN RAILYARDS,766,Apr-19,Jul-21,Sep-24,106.29,8.45,94.91,2.93,,,,,,,,,,,
